,RiskPerformance,ExternalRiskEstimate,MSinceMostRecentTradeOpen,MSinceMostRecentDelq,MSinceMostRecentInqexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden
2617,Good,74,24,5,-7,6,58
2618,Bad,63,4,4,-7,0,72
2619,Bad,84,17,-7,-7,17,-8
2620,Good,72,10,29,-7,5,-8
2621,Bad,62,3,3,-7,74,29
2622,Bad,54,23,2,-7,68,35
2623,Good,60,10,38,-7,67,64
2624,Good,87,34,-7,-7,2,-8
2625,Bad,68,2,-7,-7,41,69
2626,Bad,60,5,2,-7,51,37
2627,Good,66,13,67,-7,67,-8
2628,Good,66,7,-7,-7,48,-8
2629,Bad,77,5,-7,-7,56,96
2630,Good,89,1,-7,-7,2,16
2631,Bad,74,3,-7,-7,0,-8
2632,Good,66,12,6,-7,23,44
2633,Good,79,2,-7,-7,1,85
2634,Bad,63,2,-7,-7,88,94
2635,Good,76,8,-7,-7,17,94
2636,Bad,65,6,12,-7,16,67
2637,Bad,69,2,-8,-7,95,77
2638,Good,67,45,2,-7,76,90
2639,Good,56,5,-7,-7,73,55
2640,Bad,63,8,-7,-7,81,47
2641,Good,61,3,9,-7,18,60
2642,Good,80,2,-7,-7,36,-8
2643,Good,77,50,49,-7,1,-8
2644,Bad,63,3,16,-7,15,-8
2645,Bad,73,9,5,-7,9,53
2646,Bad,70,50,10,-7,30,-8
2647,Bad,65,1,51,-7,65,85
2648,Good,65,31,16,-7,85,-8
2649,Bad,57,13,2,-7,97,46
2650,Bad,69,20,23,-7,16,-8
2651,Bad,73,12,3,-7,1,22
2652,Bad,70,11,12,-7,74,66
2653,Good,73,3,70,-7,18,93
2654,Bad,57,4,10,-7,71,63
2655,Good,80,6,66,-7,1,98
2656,Bad,73,0,6,-7,14,67
2657,Good,70,2,-7,-7,95,-8
2658,Bad,70,2,-7,-7,84,78
2659,Bad,63,1,10,-7,42,37
2660,Good,60,5,4,-7,71,82
2661,Good,69,15,25,-7,48,76
2662,Bad,-9,82,-7,-7,-8,-8
2663,Bad,66,1,-7,-7,91,75
2664,Bad,59,1,20,-7,45,-8
2665,Bad,86,14,-7,-7,2,-8
2666,Good,73,12,-7,-7,62,73
2667,Good,76,5,55,-7,54,13
2668,Bad,74,6,-7,-7,24,90
2669,Bad,59,5,2,-7,23,97
2670,Bad,58,3,-8,-7,92,86
2671,Bad,58,5,2,-7,29,-8
2672,Good,88,6,18,-7,3,-8
2673,Good,80,4,37,-7,11,99
2674,Bad,58,11,-7,-7,87,-8
2675,Bad,62,12,15,-7,100,57
2676,Bad,70,17,-7,-7,84,72
2677,Bad,59,5,4,-7,40,-8
2678,Good,59,11,35,-7,76,-8
2679,Bad,66,2,44,-7,42,-8
2680,Bad,71,9,-7,-7,32,73
2681,Good,89,11,-7,-7,0,-8
2682,Bad,68,2,2,-7,27,100
2683,Good,88,6,-7,-7,0,-8
2684,Bad,54,3,3,-7,12,66
2685,Good,80,11,-7,-7,18,-8
2686,Good,80,5,-7,-7,32,-8
2687,Good,69,6,17,-7,37,-8
2688,Bad,72,5,-7,-7,7,14
2689,Bad,59,0,4,-7,20,-8
2690,Good,65,3,44,-7,71,55
2691,Bad,61,2,12,-7,33,-8
2692,Bad,78,5,-7,-7,21,11
2693,Good,66,17,8,-7,8,75
2694,Bad,75,13,-7,-7,6,37
2695,Bad,57,7,0,-7,56,48
2696,Bad,73,3,53,-7,33,52
2697,Bad,67,9,9,-7,40,93
2698,Bad,61,15,12,-7,96,97
2699,Bad,88,43,-7,-7,15,-8
2700,Bad,56,18,2,-7,68,59
2701,Bad,80,11,25,-7,2,29
2702,Bad,66,3,22,-7,44,70
2703,Bad,64,9,8,-7,21,52
2704,Bad,77,12,-7,-7,25,-8
2705,Bad,92,66,-7,-7,1,-8
2706,Bad,65,1,-7,-7,38,100
2707,Good,77,2,75,-7,24,90
2708,Good,88,17,-7,-7,17,-8
2709,Bad,65,3,57,-7,14,-8
2710,Good,73,15,-7,-7,26,88
2711,Bad,70,5,-7,-7,64,73
2712,Bad,76,5,-7,-7,66,-8
2713,Bad,70,6,-7,-7,1,72
2714,Bad,80,10,6,-7,8,55
2715,Bad,81,5,-7,-7,0,80
2716,Bad,67,21,29,-7,43,-8
2717,Bad,73,145,47,-7,-8,-8
2718,Bad,67,2,-7,-7,65,-8
2719,Good,65,1,58,-7,43,61
2720,Bad,72,5,9,-7,14,23
2721,Bad,62,4,8,-7,79,90
2722,Bad,73,8,-7,-7,96,68
2723,Bad,66,2,4,-7,28,77
2724,Bad,70,8,-7,-7,100,67
2725,Bad,78,12,-7,-7,53,86
2726,Bad,65,4,13,-7,39,32
2727,Good,81,5,-7,-7,46,26
2728,Good,62,7,12,-7,23,40
2729,Bad,59,17,8,-7,55,47
2730,Bad,70,5,-7,-7,14,-8
2731,Bad,61,2,2,-7,44,86
2732,Good,71,6,18,-7,63,-8
2733,Bad,55,4,2,-7,5,36
2734,Good,62,7,7,-7,44,53
2735,Good,86,6,-7,-7,19,82
2736,Good,75,8,1,-7,9,-8
2737,Good,84,1,-7,-7,6,-8
2738,Good,69,23,-7,-7,35,-8
2739,Bad,92,60,-7,-7,0,-8
2740,Good,80,3,44,-7,29,75
2741,Bad,54,11,3,-7,55,-8
2742,Bad,63,3,33,-7,68,99
2743,Good,88,5,-7,-7,1,-8
2744,Bad,93,11,-7,-7,1,-8
2745,Bad,52,4,38,-7,75,74
2746,Bad,88,10,-7,-7,1,35
2747,Good,75,17,-7,-7,62,56
2748,Good,93,28,-7,-7,1,-8
2749,Bad,65,3,-7,-7,103,89
2750,Bad,62,14,6,-7,67,-8
2751,Bad,64,7,-7,-7,-8,81
2752,Bad,76,5,-7,-7,47,92
2753,Bad,86,7,-7,-7,12,-8
2754,Bad,70,20,-7,-7,102,97
2755,Good,88,7,51,-7,0,-8
2756,Good,65,6,2,-7,26,64
2757,Bad,85,5,-7,-7,11,-8
2758,Bad,67,6,-7,-7,31,77
2759,Good,56,4,-7,-7,91,57
2760,Good,89,17,-7,-7,6,-8
2761,Bad,81,2,-7,-7,8,-8
2762,Good,65,4,36,-7,20,92
2763,Good,58,11,6,-7,65,68
2764,Good,85,21,-7,-7,5,-8
2765,Good,78,4,-7,-7,27,51
2766,Bad,70,4,23,-7,43,78
2767,Bad,74,14,-7,-7,34,53
2768,Good,91,24,-7,-7,4,39
2769,Good,68,2,-7,-7,8,-8
2770,Bad,73,2,-7,-7,45,108
2771,Good,87,26,-7,-7,0,55
2772,Good,83,3,-7,-7,5,75
2773,Bad,72,1,-7,-7,30,97
2774,Bad,57,1,-7,-7,31,98
2775,Good,77,23,-7,-7,45,9
2776,Good,72,37,22,-7,24,-8
2777,Bad,81,2,-7,-7,21,73
2778,Bad,76,1,-7,-7,98,-8
2779,Bad,56,6,1,-7,93,-8
2780,Bad,67,13,1,-7,92,14
2781,Good,79,4,-7,-7,46,-8
2782,Good,66,19,36,-7,21,6
2783,Bad,75,1,-7,-7,43,98
2784,Good,68,2,-8,-7,52,-8
2785,Good,75,19,-7,-7,57,49
2786,Bad,77,1,-7,-7,22,-8
2787,Bad,64,2,38,-7,77,93
2788,Good,78,6,-7,-7,17,21
2789,Good,77,3,61,-7,22,66
2790,Bad,64,1,66,-7,91,70
2791,Good,83,6,-7,-7,15,101
2792,Bad,59,19,20,-7,90,72
2793,Bad,55,4,2,-7,22,-8
2794,Bad,59,8,11,-7,42,80
2795,Bad,65,17,4,-7,30,68
2796,Bad,88,17,-7,-7,0,69
2797,Bad,58,2,5,-7,0,44
2798,Bad,72,8,-7,-7,26,68
2799,Bad,57,7,3,-7,69,-8
2800,Bad,77,5,72,-7,63,67
2801,Bad,67,2,-7,-7,50,75
2802,Bad,60,13,1,-7,8,-8
2803,Bad,78,1,-7,-7,42,-8
2804,Good,75,27,13,-7,14,-8
2805,Good,79,12,9,-7,1,-8
2806,Good,75,1,-7,-7,28,83
2807,Bad,88,14,-7,-7,4,44
2808,Bad,70,17,3,-7,25,-8
2809,Bad,59,12,2,-7,58,19
2810,Good,74,9,-7,-7,52,56
2811,Bad,59,7,5,-7,42,95
2812,Good,64,0,-7,-7,58,73
2813,Bad,85,18,-7,-7,13,57
2814,Bad,64,16,9,-7,88,-8
2815,Bad,59,4,30,-7,88,85
2816,Good,67,3,4,-7,53,98
2817,Bad,67,2,-7,-7,74,-8
2818,Bad,70,17,-7,-7,95,-8
2819,Good,73,2,27,-7,39,-8
2820,Bad,87,19,-7,-7,2,35
2821,Good,85,1,-7,-7,8,67
2822,Bad,66,5,28,-7,24,18
2823,Bad,63,2,9,-7,19,57
2824,Bad,68,3,21,1,32,-8
2825,Bad,64,13,57,23,-8,-8
2826,Bad,59,5,7,3,33,8
2827,Bad,64,10,38,0,81,92
2828,Bad,80,37,-7,18,45,-8
2829,Bad,60,14,25,2,23,49
2830,Good,71,8,15,7,10,31
2831,Good,80,15,-7,-8,32,67
2832,Good,62,2,26,9,73,46
2833,Bad,65,1,-7,1,45,93
2834,Bad,68,4,4,3,40,58
2835,Bad,62,5,33,1,92,-8
2836,Bad,80,3,-7,18,10,92
2837,Good,69,7,-7,21,84,94
2838,Bad,70,2,-7,4,38,98
2839,Bad,69,44,8,8,10,-8
2840,Bad,58,32,3,-8,0,-8
2841,Bad,72,20,25,1,74,-8
2842,Bad,57,2,19,0,39,74
2843,Bad,63,7,17,7,1,48
2844,Good,80,9,-7,8,0,88
2845,Good,76,1,-7,0,10,100
2846,Bad,54,2,11,0,26,53
2847,Bad,69,9,7,21,18,80
2848,Good,78,8,-7,9,19,86
2849,Bad,60,0,21,4,67,98
2850,Bad,70,13,-7,0,20,-8
2851,Bad,57,10,2,0,34,-8
2852,Bad,75,5,-7,15,89,64
2853,Bad,68,4,-7,0,54,-8
2854,Bad,59,6,3,17,49,91
2855,Bad,66,10,26,12,72,86
2856,Bad,79,9,60,5,5,-8
2857,Bad,65,17,3,16,-8,44
2858,Bad,66,4,-7,0,97,-8
2859,Bad,73,5,-7,0,59,72
2860,Good,62,18,10,2,49,57
2861,Bad,84,2,-7,0,7,75
2862,Bad,63,1,-7,7,59,95
2863,Bad,72,3,28,1,68,-8
2864,Bad,56,4,19,0,69,89
2865,Good,68,2,12,16,3,92
2866,Bad,73,5,9,15,44,88
2867,Bad,63,7,-7,4,47,38
2868,Bad,68,8,-7,0,-8,-8
2869,Good,56,11,4,2,84,61
2870,Good,76,3,74,6,28,-8
2871,Good,88,1,-7,3,1,87
2872,Bad,70,23,15,0,-8,57
2873,Bad,61,9,6,1,65,86
2874,Good,81,2,45,0,8,12
2875,Bad,63,2,-7,0,68,78
2876,Bad,74,4,8,6,7,49
2877,Good,73,8,28,8,0,95
2878,Good,86,29,-7,-8,20,46
2879,Good,86,12,-7,-8,2,98
2880,Bad,59,4,3,0,15,51
2881,Bad,56,3,5,1,58,97
2882,Bad,70,1,-7,1,28,-8
2883,Bad,58,2,13,1,60,36
2884,Bad,65,7,-7,1,41,-8
2885,Bad,55,3,10,0,70,69
2886,Bad,62,6,17,0,3,-8
2887,Bad,57,25,4,9,0,53
2888,Bad,73,16,9,17,2,-8
2889,Good,57,4,4,4,62,18
2890,Bad,56,2,2,0,0,96
2891,Bad,77,18,-7,21,49,-8
2892,Bad,83,36,-7,0,0,-8
2893,Good,87,4,-7,0,1,48
2894,Good,86,7,-7,13,1,41
2895,Good,75,4,-7,0,11,79
2896,Good,65,5,11,0,51,93
2897,Bad,66,5,51,5,78,72
2898,Good,82,21,-7,15,20,30
2899,Bad,73,12,-7,3,54,-8
2900,Bad,80,2,-7,0,4,95
2901,Bad,67,83,75,21,-8,23
2902,Good,60,3,6,0,50,44
2903,Good,87,13,-7,4,12,26
2904,Bad,54,9,5,9,68,79
2905,Bad,48,9,3,1,74,75
2906,Good,65,2,-7,1,38,85
2907,Bad,61,1,-7,0,65,88
2908,Good,74,9,33,-8,48,82
2909,Good,68,1,7,5,38,80
2910,Bad,61,5,14,3,58,77
2911,Good,80,18,-7,2,17,76
2912,Bad,58,13,1,12,47,-8
2913,Bad,61,5,4,1,26,76
2914,Good,88,3,-7,20,5,-8
2915,Good,89,48,-7,-8,4,-8
2916,Good,82,2,-7,0,8,64
2917,Good,74,9,55,4,14,-8
2918,Good,77,22,14,9,0,-8
2919,Bad,68,3,-7,2,88,-8
2920,Bad,70,26,36,3,58,-8
2921,Bad,78,36,-7,4,50,-8
2922,Good,83,2,43,2,0,35
2923,Bad,60,2,22,0,35,62
2924,Bad,68,13,10,13,20,-8
2925,Bad,70,42,-7,-8,-8,-8
2926,Bad,74,8,24,0,37,56
2927,Good,66,2,34,9,54,80
2928,Good,78,1,-7,0,0,-8
2929,Bad,60,7,12,0,63,46
2930,Bad,62,20,24,-8,40,44
2931,Good,77,11,-7,2,20,71
2932,Bad,64,10,46,0,41,70
2933,Bad,63,23,19,8,6,-8
2934,Good,70,2,69,2,45,-8
2935,Bad,55,4,1,6,21,-8
2936,Good,69,18,-7,4,72,53
2937,Good,79,1,-7,0,43,28
2938,Good,91,17,-7,4,2,-8
2939,Bad,67,15,-7,0,66,-8
2940,Good,82,10,-7,5,28,52
2941,Bad,72,39,4,12,43,45
2942,Bad,59,12,76,15,85,89
2943,Bad,66,3,-7,0,90,86
2944,Bad,62,10,6,10,43,-8
2945,Bad,68,13,12,6,2,51
2946,Bad,69,1,-7,9,71,69
2947,Good,86,20,-7,20,0,49
2948,Good,85,3,-7,0,9,76
2949,Good,73,5,19,-8,1,-8
2950,Good,75,19,-7,0,73,-8
2951,Good,66,4,3,3,16,33
2952,Good,76,5,12,4,23,16
2953,Bad,57,10,-7,6,97,78
2954,Good,79,7,-7,2,28,34
2955,Bad,59,9,28,1,51,96
2956,Good,86,7,-7,7,11,35
2957,Bad,65,5,3,6,46,78
2958,Bad,66,7,18,5,72,83
2959,Bad,64,2,-7,1,36,54
2960,Good,80,10,36,8,18,-8
2961,Bad,67,2,-7,10,41,-8
2962,Bad,62,8,1,9,53,61
2963,Bad,65,4,-7,0,58,44
2964,Bad,73,3,21,0,31,80
2965,Bad,74,2,-7,14,69,55
2966,Good,86,2,47,2,3,-8
2967,Bad,70,4,-7,-8,78,76
2968,Bad,74,6,-7,12,61,93
2969,Bad,77,13,-7,0,36,-8
2970,Good,91,28,-7,-8,2,10
2971,Good,86,0,-7,19,8,91
2972,Bad,85,64,-7,2,29,-8
2973,Good,75,6,11,-8,26,32
2974,Good,72,24,14,0,45,15
2975,Good,82,2,-7,2,2,74
2976,Good,64,1,1,1,59,100
2977,Bad,64,13,12,14,0,80
2978,Bad,60,5,1,5,95,95
2979,Bad,57,1,1,0,12,-8
2980,Bad,56,28,80,4,-8,-8
2981,Good,88,2,-7,-8,6,10
2982,Bad,72,1,53,11,20,-8
2983,Good,73,2,52,3,7,93
2984,Bad,61,2,14,3,76,97
2985,Bad,82,4,-7,9,19,98
2986,Good,75,17,-7,14,1,49
2987,Good,79,10,64,17,4,65
2988,Bad,62,13,3,0,30,91
2989,Bad,69,5,31,5,77,75
2990,Good,85,19,-7,-8,18,-8
2991,Bad,65,28,14,9,52,-8
2992,Bad,85,21,-7,21,32,-8
2993,Good,90,8,-7,12,2,-8
2994,Good,72,9,18,0,25,82
2995,Good,89,3,-7,2,4,99
2996,Good,69,5,1,17,24,92
2997,Bad,57,3,13,1,55,90
2998,Bad,70,15,25,-8,63,51
2999,Good,71,2,-7,1,22,92
3000,Good,66,5,1,0,14,48
3001,Good,68,5,15,4,19,87
3002,Bad,63,12,21,0,67,87
3003,Bad,57,6,16,7,22,-8
3004,Bad,62,3,48,2,54,87
3005,Good,81,24,-7,1,20,-8
3006,Good,72,9,-7,-8,41,83
3007,Bad,66,7,-7,7,55,69
3008,Bad,55,24,1,2,86,36
3009,Good,87,12,-7,-8,16,27
3010,Bad,72,4,-7,0,4,85
3011,Bad,73,8,-7,1,4,83
3012,Good,43,6,1,1,100,54
3013,Good,75,3,14,2,4,59
3014,Good,83,4,-7,11,3,-8
3015,Good,74,2,-7,0,2,-8
3016,Bad,76,12,-7,1,61,39
3017,Bad,65,1,23,0,26,58
3018,Good,78,8,-7,0,24,84
3019,Good,72,6,-7,8,19,69
3020,Bad,56,3,-7,0,27,90
3021,Bad,69,6,64,0,18,93
3022,Bad,56,33,8,-8,81,-8
3023,Bad,60,3,-7,1,60,-8
3024,Good,81,12,-7,5,12,40
3025,Good,88,18,-7,4,5,-8
3026,Good,85,8,-8,13,1,71
3027,Good,60,8,1,1,41,17
3028,Good,84,3,-7,9,23,70
3029,Good,72,2,-8,5,24,119
3030,Good,77,7,5,10,8,68
3031,Bad,80,7,-7,0,2,43
3032,Bad,63,6,30,6,72,-8
3033,Good,75,2,-7,0,40,75
3034,Good,70,31,49,3,61,17
3035,Good,75,3,-7,22,34,85
3036,Bad,69,3,7,0,27,47
3037,Bad,73,2,-7,0,34,-8
3038,Good,80,1,-7,5,23,-8
3039,Bad,65,9,4,12,28,99
3040,Bad,75,4,-7,0,19,86
3041,Bad,55,4,3,3,45,77
3042,Good,86,3,-7,3,1,77
3043,Bad,84,1,-7,2,0,100
3044,Good,75,5,-7,4,17,-8
3045,Bad,81,5,-7,1,31,81
3046,Bad,73,23,-7,1,63,64
3047,Bad,63,2,5,0,52,92
3048,Good,80,2,30,9,2,89
3049,Bad,68,8,1,8,5,87
3050,Bad,81,17,-8,0,1,22
3051,Bad,78,12,-7,15,0,72
3052,Bad,64,2,12,0,15,92
3053,Bad,63,6,2,0,52,40
3054,Good,73,3,-7,2,11,98
3055,Bad,78,16,52,0,13,-8
3056,Bad,63,3,73,3,87,62
3057,Good,72,14,-8,14,77,65
3058,Bad,61,2,14,0,74,81
3059,Bad,77,15,40,14,60,-8
3060,Bad,68,9,58,7,14,97
3061,Good,63,4,12,0,56,60
3062,Bad,56,3,-7,4,75,75
3063,Bad,57,1,61,1,60,97
3064,Bad,73,1,36,4,8,95
3065,Good,83,1,-7,2,14,83
3066,Good,86,15,-7,3,1,62
3067,Good,83,5,-7,0,5,-8
3068,Bad,79,5,-7,18,17,91
3069,Good,83,3,-7,13,37,70
3070,Bad,56,21,1,21,60,-8
3071,Bad,69,12,24,2,37,66
3072,Good,57,8,17,1,103,61
3073,Good,84,8,-7,4,8,-8
3074,Bad,82,2,-7,22,28,70
3075,Bad,57,9,4,9,65,68
3076,Bad,69,1,22,0,54,74
3077,Bad,62,2,-7,0,61,-8
3078,Bad,64,7,15,0,53,-8
3079,Bad,75,7,-7,6,3,-8
3080,Bad,69,3,-7,16,21,91
3081,Bad,85,21,-7,-8,0,70
3082,Bad,59,10,26,0,18,94
3083,Good,76,9,-7,10,20,74
3084,Good,73,6,-7,5,2,75
3085,Bad,67,6,-7,5,57,58
3086,Good,91,6,-7,-8,3,-8
3087,Bad,67,15,25,4,23,-8
3088,Good,80,8,-7,0,31,83
3089,Good,85,3,-7,-8,3,-8
3090,Bad,52,3,1,8,88,65
3091,Bad,71,2,-7,1,40,-8
3092,Good,65,6,-7,0,37,-8
3093,Good,84,3,-7,3,21,-8
3094,Bad,79,7,-7,0,8,80
3095,Good,74,6,39,0,18,88
3096,Bad,67,19,37,12,74,-8
3097,Good,86,14,-7,8,2,17
3098,Bad,75,4,-7,-8,20,90
3099,Good,69,20,49,16,0,-8
3100,Good,64,3,-7,0,65,75
3101,Good,77,18,-7,1,2,-8
3102,Good,79,8,53,8,2,93
3103,Good,61,4,-7,1,31,78
3104,Good,79,4,-7,1,26,71
3105,Good,68,23,37,12,87,-8
3106,Bad,66,3,-7,0,45,72
3107,Bad,61,32,12,8,86,74
3108,Bad,70,5,28,1,26,33
3109,Bad,63,11,8,0,56,-8
3110,Bad,59,6,1,3,55,64
3111,Good,85,6,-7,7,12,47
3112,Bad,64,3,3,12,18,-8
3113,Bad,50,10,2,0,58,94
3114,Bad,60,3,76,8,22,73
3115,Good,85,2,-8,2,6,66
3116,Bad,73,4,34,4,16,93
3117,Good,72,8,33,6,10,39
3118,Bad,67,1,42,2,22,89
3119,Bad,74,4,-7,3,-8,97
3120,Bad,79,2,39,1,7,-8
3121,Bad,69,12,-7,22,64,-8
3122,Bad,63,6,2,5,7,6
3123,Good,73,5,-7,0,21,93
3124,Good,80,5,-7,-8,42,23
3125,Good,61,9,24,3,29,61
3126,Good,66,25,0,-8,1,52
3127,Bad,60,14,2,-8,97,10
3128,Bad,57,2,2,0,61,53
3129,Bad,75,14,5,22,0,-8
3130,Bad,71,2,49,0,74,27
3131,Bad,77,3,21,0,4,56
3132,Good,88,4,-7,3,14,-8
3133,Bad,65,16,10,-8,57,6
3134,Bad,68,4,18,1,36,-8
3135,Bad,63,23,4,4,4,40
3136,Bad,69,3,-8,0,40,55
3137,Bad,40,3,1,3,72,-8
3138,Bad,63,1,53,2,66,91
3139,Bad,60,6,2,13,62,42
3140,Good,80,7,-7,7,20,82
3141,Good,74,2,-7,0,19,-8
3142,Bad,57,8,16,1,92,75
3143,Bad,78,28,-7,0,30,-8
3144,Good,73,3,-7,3,26,91
3145,Bad,79,3,-7,0,33,91
3146,Good,67,7,10,9,26,-8
3147,Good,83,12,26,12,0,62
3148,Good,56,9,1,15,46,50
3149,Bad,63,1,-7,1,82,70
3150,Good,90,1,-7,-8,7,24
3151,Good,77,11,-7,10,38,-8
3152,Good,73,6,-7,0,47,90
3153,Bad,69,8,-7,1,97,-8
3154,Good,84,13,-7,0,23,-8
3155,Good,75,3,29,7,17,-8
3156,Bad,62,8,11,1,37,75
3157,Good,82,7,16,0,14,61
3158,Good,83,13,-7,13,34,-8
3159,Bad,77,21,-7,6,0,-8
3160,Good,82,1,-7,-8,42,67
3161,Good,75,3,22,-8,31,72
3162,Good,90,6,-7,23,14,-8
3163,Good,79,4,-7,11,68,54
3164,Bad,61,5,3,4,60,39
3165,Good,77,7,-7,0,3,74
3166,Bad,63,12,14,0,70,73
3167,Bad,61,32,12,0,86,74
3168,Bad,77,2,-7,1,41,-8
3169,Bad,86,8,-7,1,9,-8
3170,Good,86,3,-7,13,1,-8
3171,Good,82,2,-7,2,5,31
3172,Good,87,6,-7,6,5,-8
3173,Good,65,5,53,0,49,-8
3174,Bad,56,4,1,4,29,37
3175,Good,84,32,19,-8,1,14
3176,Good,67,14,-7,0,42,-8
3177,Good,68,20,10,1,26,72
3178,Good,86,3,-7,-8,4,-8
3179,Good,72,4,40,5,13,68
3180,Good,83,1,-7,18,6,-8
3181,Bad,60,14,14,3,4,-8
3182,Good,76,4,-7,20,37,81
3183,Good,87,20,-7,-8,0,19
3184,Good,87,32,-7,-8,9,79
3185,Bad,64,6,3,6,28,87
3186,Bad,66,7,7,0,33,19
3187,Good,79,10,38,10,2,15
3188,Bad,69,9,3,6,20,58
3189,Bad,59,3,-7,1,63,72
3190,Bad,67,6,-7,3,61,58
3191,Bad,84,10,-7,5,0,87
3192,Bad,80,5,26,4,0,-8
3193,Good,68,9,24,0,49,52
3194,Good,75,4,-7,4,28,-8
3195,Good,92,25,-7,-8,0,-8
3196,Good,89,10,-7,11,13,-8
3197,Good,77,10,-7,1,48,87
3198,Bad,73,3,-7,0,28,-8
3199,Bad,80,23,-7,10,42,-8
3200,Good,88,24,-7,-8,17,-8
3201,Good,84,3,-7,16,6,100
3202,Bad,66,3,-7,1,42,84
3203,Good,74,3,50,0,3,-8
3204,Good,89,10,-7,-8,1,-8
3205,Bad,62,5,1,5,58,97
3206,Bad,71,3,-7,2,1,-8
3207,Good,68,10,-7,1,70,74
3208,Bad,79,4,-7,0,6,92
3209,Good,-9,-9,-9,-9,-9,-9
3210,Bad,78,6,32,0,0,88
3211,Good,79,11,35,11,3,74
3212,Bad,60,1,3,0,49,95
3213,Bad,84,4,-7,10,11,76
3214,Bad,77,4,-7,1,30,73
3215,Bad,59,4,1,0,53,80
3216,Good,66,20,3,8,22,85
3217,Good,72,48,25,0,-8,-8
3218,Good,67,17,2,4,2,60
3219,Good,86,1,16,18,3,48
3220,Bad,77,4,-7,3,15,78
3221,Bad,63,3,-7,4,95,91
3222,Bad,79,8,18,7,14,18
3223,Bad,89,8,-7,-8,2,-8
3224,Bad,93,13,-7,-8,0,-8
3225,Bad,67,9,-7,0,68,77
3226,Good,79,2,-7,1,9,13
3227,Bad,81,8,18,3,11,91
3228,Good,61,5,24,7,38,-8
3229,Good,78,13,-7,14,21,80
3230,Good,82,14,22,23,5,-8
3231,Good,74,5,43,11,57,-8
3232,Good,75,6,-7,9,42,93
3233,Good,76,5,62,5,2,70
3234,Good,65,5,-7,1,-8,98
3235,Good,78,1,-7,0,10,95
3236,Good,85,17,-7,23,16,53
3237,Bad,82,6,-7,1,37,-8
3238,Good,88,8,-7,-8,0,92
3239,Bad,82,1,-7,0,2,78
3240,Bad,72,5,1,17,2,52
3241,Bad,55,10,1,1,83,56
3242,Good,84,11,-7,10,10,-8
3243,Bad,60,6,30,0,65,70
3244,Good,83,23,40,23,5,15
3245,Bad,70,5,27,0,38,39
3246,Good,60,3,30,3,60,76
3247,Bad,66,11,4,2,23,74
3248,Bad,66,5,24,7,98,81
3249,Good,73,1,12,7,26,66
3250,Good,79,6,-7,0,3,90
3251,Good,73,27,67,-8,36,-8
3252,Good,77,1,23,6,10,95
3253,Bad,68,10,-7,2,4,-8
3254,Good,81,11,-7,11,20,-8
3255,Good,82,4,-7,4,0,-8
3256,Good,82,9,-7,11,17,56
3257,Bad,75,3,14,1,13,-8
3258,Good,72,4,19,0,8,-8
3259,Good,-9,-9,-9,-9,-9,-9
3260,Bad,83,9,14,1,6,100
3261,Good,69,9,17,-8,-8,88
3262,Bad,88,26,-7,-8,1,-8
3263,Good,87,11,-7,15,4,58
3264,Bad,-9,-9,-9,-9,-9,-9
3265,Good,71,1,-7,1,64,100
3266,Good,86,8,-7,-8,0,84
3267,Good,78,8,-7,2,6,80
3268,Good,87,15,-7,5,0,-8
3269,Bad,74,19,9,-8,4,76
3270,Good,73,3,14,1,10,-8
3271,Good,71,1,-8,9,60,80
3272,Good,86,10,-7,0,10,56
3273,Good,73,5,42,4,20,91
3274,Bad,69,3,-7,0,50,-8
3275,Bad,79,6,-7,0,8,63
3276,Good,81,8,14,-8,12,-8
3277,Bad,63,5,6,4,30,32
3278,Bad,82,7,25,8,0,96
3279,Bad,74,3,-7,4,1,65
3280,Bad,81,8,-7,0,12,35
3281,Good,70,2,32,1,32,-8
3282,Bad,84,17,-7,12,1,-8
3283,Good,81,4,-7,13,22,-8
3284,Good,77,4,-7,5,36,98
3285,Good,72,7,-7,1,30,56
3286,Bad,80,3,-7,9,19,-8
3287,Good,80,3,-7,2,28,96
3288,Good,72,2,71,2,35,-8
3289,Good,74,4,-7,1,25,57
3290,Good,72,5,-7,4,61,76
3291,Good,92,10,-7,-8,3,-8
3292,Good,86,12,-7,-8,11,19
3293,Good,74,3,12,9,32,81
3294,Bad,72,5,61,3,54,89
3295,Good,59,1,10,0,43,87
3296,Good,80,7,54,-8,18,48
3297,Bad,91,18,-7,4,1,-8
3298,Good,84,16,-7,10,4,-8
3299,Good,84,4,-7,0,3,62
3300,Good,76,6,-7,7,1,57
3301,Good,-9,-9,-9,-9,-9,-9
3302,Good,66,2,19,1,44,84
3303,Good,73,4,10,0,18,69
3304,Good,71,3,-7,1,58,54
3305,Good,82,3,22,4,3,48
3306,Bad,63,15,1,1,62,50
3307,Bad,70,3,16,0,6,92
3308,Bad,56,1,3,1,42,-8
3309,Good,86,21,50,-8,4,19
3310,Bad,74,2,-7,4,77,-8
3311,Bad,77,8,56,1,5,-8
3312,Good,73,3,28,6,28,-8
3313,Good,84,6,-7,0,0,98
3314,Good,84,11,-7,1,21,57
3315,Good,79,1,-7,1,21,-8
3316,Bad,67,17,3,0,3,-8
3317,Good,76,4,-7,-8,52,97
3318,Good,89,10,-7,0,5,72
